Tanggal,Harga
02/ 08/ 2023,"22,400"
09/ 08/ 2023,"22,400"
16/ 08/ 2023,"22,350"
23/ 08/ 2023,"22,400"
30/ 08/ 2023,"22,450"
06/ 09/ 2023,"22,350"
13/ 09/ 2023,"22,400"
20/ 09/ 2023,"22,450"
27/ 09/ 2023,"22,400"
04/ 10/ 2023,"22,300"
11/ 10/ 2023,"22,200"
18/ 10/ 2023,"22,100"
25/ 10/ 2023,"22,150"
01/ 11/ 2023,"22,150"
08/ 11/ 2023,"22,150"
15/ 11/ 2023,"22,150"
22/ 11/ 2023,"22,200"
29/ 11/ 2023,"21,700"
06/ 12/ 2023,"21,600"
13/ 12/ 2023,"21,550"
20/ 12/ 2023,"22,000"
27/ 12/ 2023,"21,850"
03/ 01/ 2024,"22,150"
10/ 01/ 2024,"21,950"
17/ 01/ 2024,"22,250"
24/ 01/ 2024,"22,100"
31/ 01/ 2024,"22,200"
07/ 02/ 2024,"22,000"
14/ 02/ 2024,"22,000"
21/ 02/ 2024,"22,150"
28/ 02/ 2024,"22,300"
06/ 03/ 2024,"22,450"
13/ 03/ 2024,"21,950"
20/ 03/ 2024,"21,950"
27/ 03/ 2024,"21,800"
03/ 04/ 2024,"21,800"
10/ 04/ 2024,"21,750"
17/ 04/ 2024,"21,750"
24/ 04/ 2024,"21,700"
01/ 05/ 2024,"21,750"
08/ 05/ 2024,"21,750"
15/ 05/ 2024,"21,700"
22/ 05/ 2024,"21,550"
29/ 05/ 2024,"21,650"
05/ 06/ 2024,"21,500"
12/ 06/ 2024,"21,850"
19/ 06/ 2024,"21,550"
26/ 06/ 2024,"21,700"
03/ 07/ 2024,"21,600"
10/ 07/ 2024,"21,450"
17/ 07/ 2024,"21,550"
24/ 07/ 2024,"21,450"
31/ 07/ 2024,"21,050"
07/ 08/ 2024,"21,350"
14/ 08/ 2024,"21,350"
21/ 08/ 2024,"21,450"
28/ 08/ 2024,"21,100"
04/ 09/ 2024,"21,350"
11/ 09/ 2024,"21,300"
18/ 09/ 2024,"21,300"
25/ 09/ 2024,"21,100"
