Date,Open,High,Low,Close,Adj Close,Volume
,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD
2022-12-06,0.0,0.0,0.0,0.0,0.0,99064720
2022-12-07,0.0,0.0,0.0,0.0,0.0,110036104
2022-12-08,0.0,0.0,0.0,0.0,0.0,92223159
2022-12-09,0.0,0.0,0.0,0.0,0.0,80300419
2022-12-10,0.0,0.0,0.0,0.0,0.0,58053490
2022-12-11,0.0,0.0,0.0,0.0,0.0,73963284
2022-12-12,0.0,0.0,0.0,0.0,0.0,146037825
2022-12-13,0.0,0.0,0.0,0.0,0.0,172383732
2022-12-14,0.0,0.0,0.0,0.0,0.0,105628211
2022-12-15,0.0,0.0,0.0,0.0,0.0,95057599
2022-12-16,0.0,0.0,0.0,0.0,0.0,163155373
2022-12-17,0.0,0.0,0.0,0.0,0.0,133002793
2022-12-18,0.0,0.0,0.0,0.0,0.0,249478668
2022-12-19,0.0,0.0,0.0,0.0,0.0,201119488
2022-12-20,0.0,0.0,0.0,0.0,0.0,110917856
2022-12-21,0.0,0.0,0.0,0.0,0.0,87255813
2022-12-22,0.0,0.0,0.0,0.0,0.0,92821341
2022-12-23,0.0,0.0,0.0,0.0,0.0,78741855
2022-12-24,0.0,0.0,0.0,0.0,0.0,44533809
2022-12-25,0.0,0.0,0.0,0.0,0.0,59394204
2022-12-26,0.0,0.0,0.0,0.0,0.0,54139505
2022-12-27,0.0,0.0,0.0,0.0,0.0,81136271
2022-12-28,0.0,0.0,0.0,0.0,0.0,114991994
2022-12-29,0.0,0.0,0.0,0.0,0.0,149077179
2022-12-30,0.0,0.0,0.0,0.0,0.0,92004615
2022-12-31,0.0,0.0,0.0,0.0,0.0,63222219
2023-01-01,0.0,0.0,0.0,0.0,0.0,54630954
2023-01-02,0.0,0.0,0.0,0.0,0.0,87586024
2023-01-03,0.0,0.0,0.0,0.0,0.0,80033128
2023-01-04,0.0,0.0,0.0,0.0,0.0,143577598
2023-01-05,0.0,0.0,0.0,0.0,0.0,262459409
2023-01-06,0.0,0.0,0.0,0.0,0.0,145341328
2023-01-07,0.0,0.0,0.0,0.0,0.0,122401278
2023-01-08,0.0,0.0,0.0,0.0,0.0,117466939
2023-01-09,0.0,0.0,0.0,0.0,0.0,391325052
2023-01-10,0.0,0.0,0.0,0.0,0.0,415962114
2023-01-11,0.0,0.0,0.0,0.0,0.0,262690632
2023-01-12,0.0,0.0,0.0,0.0,0.0,400548956
2023-01-13,0.0,0.0,0.0,0.0,0.0,363109913
2023-01-14,0.0,0.0,0.0,0.0,0.0,587763520
2023-01-15,0.0,0.0,0.0,0.0,0.0,400585139
2023-01-16,0.0,0.0,0.0,0.0,0.0,405517494
2023-01-17,0.0,0.0,0.0,0.0,0.0,250210750
2023-01-18,0.0,0.0,0.0,0.0,0.0,1460356847
2023-01-19,0.0,0.0,0.0,0.0,0.0,400204465
2023-01-20,0.0,0.0,0.0,0.0,0.0,387155910
2023-01-21,0.0,0.0,0.0,0.0,0.0,498671144
2023-01-22,0.0,0.0,0.0,0.0,0.0,379150200
2023-01-23,0.0,0.0,0.0,0.0,0.0,263047877
2023-01-24,0.0,0.0,0.0,0.0,0.0,275464907
2023-01-25,0.0,0.0,0.0,0.0,0.0,289308795
2023-01-26,0.0,0.0,0.0,0.0,0.0,224253546
2023-01-27,0.0,0.0,0.0,0.0,0.0,200955714
2023-01-28,0.0,0.0,0.0,0.0,0.0,320151728
2023-01-29,0.0,0.0,0.0,0.0,0.0,225732341
2023-01-30,0.0,0.0,0.0,0.0,0.0,300495992
2023-01-31,0.0,0.0,0.0,0.0,0.0,306240450
2023-02-01,0.0,0.0,0.0,0.0,0.0,300740434
2023-02-02,0.0,0.0,0.0,0.0,0.0,547280634
2023-02-03,0.0,0.0,0.0,0.0,0.0,444629769
2023-02-04,0.0,0.0,0.0,0.0,0.0,1728233566
2023-02-05,0.0,0.0,0.0,0.0,0.0,963577448
2023-02-06,0.0,0.0,0.0,0.0,0.0,583628395
2023-02-07,0.0,0.0,0.0,0.0,0.0,491430776
2023-02-08,0.0,0.0,0.0,0.0,0.0,377501863
2023-02-09,0.0,0.0,0.0,0.0,0.0,504958773
2023-02-10,0.0,0.0,0.0,0.0,0.0,496921255
2023-02-11,0.0,0.0,0.0,0.0,0.0,322458630
2023-02-12,0.0,0.0,0.0,0.0,0.0,342923413
2023-02-13,0.0,0.0,0.0,0.0,0.0,352766094
2023-02-14,0.0,0.0,0.0,0.0,0.0,320847282
2023-02-15,0.0,0.0,0.0,0.0,0.0,445480035
2023-02-16,0.0,0.0,0.0,0.0,0.0,592035511
2023-02-17,0.0,0.0,0.0,0.0,0.0,351891009
2023-02-18,0.0,0.0,0.0,0.0,0.0,241875734
2023-02-19,0.0,0.0,0.0,0.0,0.0,469758008
2023-02-20,0.0,0.0,0.0,0.0,0.0,327213805
2023-02-21,0.0,0.0,0.0,0.0,0.0,344708123
2023-02-22,0.0,0.0,0.0,0.0,0.0,281815699
2023-02-23,0.0,0.0,0.0,0.0,0.0,427737260
2023-02-24,0.0,0.0,0.0,0.0,0.0,289053507
2023-02-25,0.0,0.0,0.0,0.0,0.0,201956713
